,id,brand,car_model,type,desc,problem,datetime,status
0,487784,东风雪铁龙,雪铁龙C4L,2014款 1.8L 手动 智驱版 劲享型,东风雪铁龙C4L转向间隙大导致异响,"D59,D337,",2020-06-24,信息审核
1,487783,广汽丰田,雷凌,2019款 185T CVT 豪华版 国VI,广汽丰田雷凌转向异响多次维修厂家不回复,"B33,B19,D59,",2020-06-24,信息审核
2,487782,吉利汽车,星越,2019款 350T 驭星者,吉利星越换挡拨片功能缺失 车机无法使用,"H155,M279,",2020-06-24,信息审核
3,487780,奇瑞汽车,捷途X95,2020款 1.6T DCT 探索Pro版 7座,捷途X95天窗导水槽及转向灯存在缺陷,"Q322,",2020-06-24,厂家受理
4,487779,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 耀享型,吉利嘉际转向机渗油 备胎出现磨损,"D58,H68,",2020-06-24,信息审核
5,487778,长城汽车,哈弗M6,2018款 1.5T 手动 两驱 精英型,哈弗M6行驶过程中车辆跑偏 地胶鼓包,"G117,H168,",2020-06-24,信息审核
6,487777,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408喷油嘴故障导致发动机抖动,"A53,",2020-06-24,信息审核
7,487774,众泰汽车,众泰T300,2019款 1.5L 手动 小强版,众泰T300发动机异响厂家承诺保养不兑现,"A9,E43,I293,L314,",2020-06-24,信息审核
8,487773,广汽本田,雅阁,2018款 260TURBO 精英版 国VI,广汽本田雅阁雨天高速行驶过程中失速,"A255,",2020-06-24,信息审核
9,487772,上汽集团,名爵6,2018款 20T 自动 豪华智联版 国VI,上汽名爵6变速箱漏油异响希望厂家解决,"B33,B22,",2020-06-24,信息审核
10,487770,福田汽车,奥铃,2007款 BJ1049V8JEA-B,福田奥铃捷运服务站服务态度差不解决问题,"I295,K307,",2020-06-24,信息审核
11,487768,奇瑞汽车,捷途X70S,2019款 X70S 1.5T 手动 征途版 国V,捷途X70S配件质量差导致故障问题多,"N317,",2020-06-24,厂家受理
12,487767,广汽乘用车,传祺GS5,2019款 270T 自动 精英版,广汽传祺GS5换挡顿挫 前轮刹车异响,"B19,E43,",2020-06-24,信息审核
